,project_name,num_commits,project_age_days,num_issues,num_pull,num_stargazers,num_watchers,num_forks,num_subscribers,num_contributors,project_size(kB),ssf_score,ssf0_Binary-Artifacts,ssf1_Branch-Protection,ssf3_CII-Best-Practices,ssf7_Dependency-Update-Tool,ssf8_Fuzzing,ssf9_License,ssf10_Maintained,ssf13_SAST,ssf17_Vulnerabilities,num_sonarQube_BUG_HIGH,num_sonarQube_BUG_MEDIUM,num_sonarQube_BUG_LOW,num_sonarQube_BUG_BLOCKER,num_sonarQube_VULNERABILITY_HIGH,num_sonarQube_VULNERABILITY_MEDIUM,num_sonarQube_VULNERABILITY_LOW,num_sonarQube_VULNERABILITY_BLOCKER,num_sonarQube_CODE_SMELL_HIGH,num_sonarQube_CODE_SMELL_MEDIUM,num_sonarQube_CODE_SMELL_LOW,num_sonarQube_CODE_SMELL_BLOCKER,Generic policy,Reporting mechanism,Scope of practice,User guideline
73,zenml-io/zenml,0.03975003934781721,0.2140557939914163,0.024358406563949556,0.037590297567764594,0.02164797345546112,0.02164797345546112,0.005881640398928654,0.005405405405405405,0.20041753653444674,0.09477338700962828,0.375,1.0,0.30000000000000004,0.0,1.0,0.0,1.0,1.0,0.8,0.0,0.21698113207547168,0.17355371900826447,0.007664793050587635,0.0682261208576998,0.05042016806722689,0.0,0.0,0.08695652173913043,0.24390243902439024,0.08977796846508634,0.14163984093921606,0.04191616766467066,0,1,0,0
74,microsoft/mssql-django,0.004628469165884568,0.2194206008583691,0.0032244780618944386,0.002690701835774405,0.0018630572393464803,0.0018630572393464803,0.0015074227109382362,0.0031641397495056033,0.08768267223382045,0.0001977005225247837,0.40625,1.0,0.6000000000000001,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.21698113207547168,0.17355371900826447,0.007664793050587635,0.0682261208576998,0.05042016806722689,0.0,0.0,0.08695652173913043,0.24390243902439024,0.08977796846508634,0.14163984093921606,0.04191616766467066,1,1,0,1
75,kjd/idna,0.0019353296764152098,0.7027896995708154,0.0015228860244127951,0.0012989595069255748,0.0013261531357884168,0.0013261531357884168,0.0012247809526373169,0.001977587343441002,0.04592901878914405,0.00016727240549725876,0.625,1.0,0.6000000000000001,0.0,0.0,1.0,1.0,1.0,0.8,1.0,0.21698113207547168,0.17355371900826447,0.007664793050587635,0.0682261208576998,0.05042016806722689,0.0,0.0,0.08695652173913043,0.24390243902439024,0.08977796846508634,0.14163984093921606,0.04191616766467066,1,1,1,0
76,huggingface/transformers,0.10067794831737076,0.34853361945636624,0.26415856662237863,0.2381469944993041,0.720412557113174,0.720412557113174,0.36113541232048885,0.14831905075807514,0.8977035490605427,0.041331251501874285,0.296875,1.0,0.1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014110058455956461,0.0010726161106939826,0.0005680742283658398,0.005988023952095809,1,1,0,1
77,cobbler/cobbler,0.055996315878447306,0.804005722460658,0.028538573304429576,0.027450460600437404,0.014061518472185683,0.014061518472185683,0.008802271901371487,0.01806196440342782,0.5135699373695198,0.010507404476683264,0.609375,1.0,0.6000000000000001,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014110058455956461,0.0010726161106939826,0.0005680742283658398,0.005988023952095809,1,1,1,1
78,diracgrid/dirac,0.2156318676514308,0.8426323319027181,0.05946248339199552,0.08196699582477301,0.0006120706780561924,0.0006120706780561924,0.002368807117188657,0.0023731048121292024,0.1774530271398747,0.014517007919369766,0.5,1.0,0.6000000000000001,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.007231404958677686,0.000510986203372509,0.0,0.01680672268907563,0.0,0.0,0.0,0.04616004837734328,0.03518180843076263,0.03238023101685287,0.04790419161676647,1,1,1,0
79,tensorflow/tensorflow,1.0,0.5430972818311874,0.6086105218992564,0.5089270329379018,1.0,1.0,1.0,1.0,0.8455114822546972,0.17878953003033107,0.734375,0.7000000000000001,0.7000000000000001,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.20754716981132074,0.049586776859504134,0.002554931016862545,0.007797270955165692,0.01680672268907563,0.0,0.0,0.0,0.19713767385607742,0.0492330794808538,0.06892633970838856,0.029940119760479042,1,1,0,1
80,croatiacontrolltd/asterix,0.002862189370842976,0.7065450643776824,0.001810369610653986,0.001153157929617602,0.0009073679350131273,0.0009073679350131273,0.0012113218212896541,0.0036914963744232037,0.033402922755741124,0.0005217188497908601,0.15625,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,1.0,0.20754716981132074,0.049586776859504134,0.002554931016862545,0.007797270955165692,0.01680672268907563,0.0,0.0,0.0,0.19713767385607742,0.0492330794808538,0.06892633970838856,0.029940119760479042,1,1,0,0
81,mobsf/mobile-security-framework-mobsf,0.011349659277049439,0.5929899856938483,0.01843002882605689,0.011717144940022533,0.09313675484421727,0.09313675484421727,0.04339223946486494,0.07620303230059328,0.17327766179540707,0.24996122471032842,0.546875,0.2,0.8,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.16981132075471697,0.9741735537190083,0.0342360756259581,0.017543859649122806,0.025210084033613446,0.08695652173913043,0.0,0.043478260869565216,0.5597661761741585,1.0,0.9589092974815375,0.04790419161676647,1,1,1,0
82,voila-dashboards/voila,0.008440835456172361,0.36087267525035766,0.011615890849475147,0.010007290078865399,0.029239797479772137,0.029239797479772137,0.0067834021992220625,0.009624258404746209,0.14196242171189977,0.0037862446160736446,0.421875,1.0,0.6000000000000001,0.0,1.0,0.0,0.9,1.0,0.0,0.2,0.16981132075471697,0.9741735537190083,0.0342360756259581,0.017543859649122806,0.025210084033613446,0.08695652173913043,0.0,0.043478260869565216,0.5597661761741585,1.0,0.9589092974815375,0.04790419161676647,0,1,0,0
